Time,X-Acceleration,Y-Acceleration,Z-Acceleration,X-Velocity,Y-Velocity,Z-Velocity,Composite-Acceleration,Composite-Velocity,Temperature Z,Temperature-XYZ
00:00.0,14.7109375,11.390625,9.9296875,1.837890625,1.606445313,1.788085938,16.65625,3.025390625,21.625,21.625
00:00.0,17.46875,12.953125,10.4296875,1.771484375,1.583007813,1.779296875,18.171875,2.966796875,21.1875,21.1875
00:00.0,12.8046875,14.390625,11.03125,1.764648438,1.5546875,1.677734375,15.671875,2.888671875,20.9375,20.9375
00:00.0,14.875,14.1015625,11.2734375,1.591796875,1.701171875,1.755859375,20.15625,2.91796875,21,21
00:00.0,14.71875,11.6796875,11.515625,1.799804688,1.555664063,1.708007813,17.25,2.9296875,20.625,20.625
00:00.0,14.234375,12.796875,12.3125,1.922851563,1.516601563,1.6953125,16.96875,2.978515625,21.0625,21.0625
00:00.0,18.0625,17.4375,11.828125,2.046875,1.8203125,2.044921875,18.71875,3.41796875,21.5,21.5
00:00.0,13.484375,12.359375,11.4375,2.162109375,1.80078125,2.63671875,15.5078125,3.85546875,22.125,22.125
00:00.0,14.5390625,16.484375,13.609375,2.03515625,2.01171875,1.756835938,19.828125,3.359375,23.125,23.125
00:00.0,18.515625,17.1875,13.6640625,1.817382813,1.821289063,1.666015625,19.875,3.064453125,24.125,24.125
00:00.0,18.390625,18.25,12.7578125,2.28125,1.993164063,2.400390625,20.1875,3.865234375,25.6875,25.6875
00:00.0,14.125,19.03125,11.3203125,2.318359375,2.12890625,2.419921875,19.046875,3.970703125,26.3125,26.3125
00:00.0,19.796875,15.3203125,8.421875,2.056640625,1.814453125,1.658203125,20.734375,3.205078125,26.4375,26.4375
00:00.0,15.4765625,17.84375,13.9921875,1.814453125,1.908203125,1.5234375,18.203125,3.041015625,27,27
00:00.0,14.0625,19.921875,12.265625,1.740234375,1.703125,1.799804688,20.390625,3.02734375,27.4375,27.4375
00:00.0,18.59375,16.15625,12.7265625,1.80859375,1.694335938,1.629882813,20.59375,2.96484375,27.4375,27.4375
00:00.0,16.8125,16.3125,12.234375,1.888671875,1.772460938,1.694335938,18.625,3.09375,26.625,26.625
00:00.0,14.2265625,18.75,11.65625,2.013671875,2.2890625,1.8125,21.125,3.546875,25.4375,25.4375
00:00.0,14.6015625,22.0625,14.0078125,1.54296875,2.208984375,1.599609375,28.296875,3.1328125,24.5625,24.5625
00:00.0,14.7109375,20.1875,12.78125,1.638671875,2.091796875,1.4453125,21.484375,3.025390625,23.6875,23.6875
00:00.0,12.3046875,20.390625,16.109375,1.740234375,2.224609375,1.630859375,22.46875,3.26171875,23.4375,23.4375
00:00.0,15.0625,19.453125,13.4765625,1.875,2.310546875,1.752929688,20.828125,3.453125,23.375,23.375
00:00.0,13.2578125,21.21875,11.171875,1.455078125,2.310546875,1.640625,25.25,3.185546875,23.0625,23.0625
00:00.0,14.21875,17.25,12.6640625,1.724609375,2.255859375,1.787109375,19.109375,3.35546875,22.9375,22.9375
00:00.0,18.796875,18.328125,13.578125,1.590820313,2.228515625,1.5078125,21.625,3.125,23,23
00:00.0,13.4765625,18.640625,10.28125,1.856445313,2.255859375,2.23828125,21.375,3.681640625,23,23
00:00.0,12.6953125,14.1875,10.34375,1.603515625,1.75390625,1.568359375,15.4296875,2.845703125,22.3125,22.3125
00:00.0,16.125,12.5859375,11.8125,1.828125,1.62890625,1.854492188,16.90625,3.0703125,21.5,21.5
00:00.0,12.578125,15.5625,13.4140625,1.828125,1.856445313,1.892578125,18.1875,3.220703125,21.5,21.5
00:00.0,17.90625,16.96875,11.28125,1.823242188,2.009765625,1.739257813,18.796875,3.22265625,21.9375,21.9375
00:00.0,12.9296875,21.75,12.140625,1.420898438,2.18359375,1.747070313,24.78125,3.13671875,23.375,23.375
00:00.0,14.2421875,17.1875,10.953125,1.625976563,2.03515625,1.735351563,19.625,3.130859375,23.875,23.875
00:00.0,12.5546875,19.46875,12.4296875,2.220703125,2.234375,2.02734375,21.3125,3.748046875,24.4375,24.4375
00:00.0,16.953125,17.875,12.953125,1.973632813,2.044921875,1.727539063,22.84375,3.326171875,25.5625,25.5625
00:00.0,18.59375,21.953125,14.59375,1.604492188,1.766601563,1.596679688,26.65625,2.87109375,26.625,26.625
00:00.0,16.640625,21.453125,11.59375,1.638671875,1.557617188,1.454101563,21.46875,2.6875,27.6875,27.6875
00:00.0,17.9375,15.25,13.8984375,1.630859375,1.625976563,1.5390625,19.046875,2.76953125,28.3125,28.3125
00:00.0,17.125,17.1875,13.8671875,1.721679688,1.653320313,1.651367188,20.03125,2.90234375,28.625,28.625
00:00.0,19.109375,16.703125,15.90625,1.653320313,1.599609375,1.509765625,20.34375,2.751953125,28.8125,28.8125
00:00.0,19.6875,23.234375,13.0234375,1.7578125,1.8203125,1.681640625,24.59375,3.037109375,28.375,28.375
00:00.0,13.8125,17.5,11.65625,1.73046875,1.83203125,1.508789063,21.609375,2.9375,27.625,27.625
00:00.0,13.2109375,24.203125,11.0859375,1.587890625,2.224609375,1.762695313,25.546875,3.251953125,26.375,26.375
00:00.0,15.1875,22.375,12.4453125,1.501953125,2.357421875,1.822265625,24.03125,3.3359375,25.375,25.375
00:00.0,17.46875,19.453125,13.0703125,1.658203125,2.322265625,1.98828125,21.421875,3.478515625,24.5,24.5
00:00.0,14.7265625,19.25,12.796875,1.701171875,1.772460938,1.58203125,19.421875,2.921875,23.375,23.375
00:00.0,19.984375,21.390625,10.0859375,1.678710938,1.54296875,1.583984375,23.8125,2.775390625,23.4375,23.4375
00:00.0,16.921875,18.5625,11.0078125,1.635742188,1.579101563,1.586914063,21.5625,2.7734375,23.5625,23.5625
00:00.0,19.015625,17.8125,9.84375,1.731445313,1.69921875,1.546875,19.5625,2.876953125,23.75,23.75
00:00.0,13.9375,18.859375,11.0625,1.666992188,2.587890625,1.5703125,23,3.455078125,23.625,23.625
00:00.0,19,18.8125,10.828125,1.728515625,1.728515625,1.581054688,24.25,2.912109375,23.1875,23.1875
00:00.0,16.859375,19.671875,10.1015625,1.684570313,1.720703125,1.735351563,22.078125,2.96875,23.0625,23.0625
00:00.0,16.9375,18.84375,11.1015625,1.805664063,1.611328125,1.66015625,20.515625,2.935546875,22.9375,22.9375
00:00.0,20.828125,19.921875,9.7109375,1.4921875,1.516601563,1.732421875,21.1875,2.7421875,23.1875,23.1875
00:00.0,19.46875,22.234375,12.0625,1.647460938,1.59765625,1.759765625,22.6875,2.892578125,23.75,23.75
00:00.0,19.390625,16.4375,12.25,1.736328125,1.680664063,1.6171875,21.28125,2.908203125,24.375,24.375
